id,type,domain,enabled,date_added,date_modified,comment
1,0,0.client-channel.google.com,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
2,0,1drv.com,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
3,0,2.android.pool.ntp.org,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
4,0,akamaihd.net,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
5,0,akamaitechnologies.com,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
6,0,akamaized.net,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
7,0,amazonaws.com,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
8,0,android.clients.google.com,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
9,0,api.ipify.org,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
10,0,api.rlje.net,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
11,0,app-api.ted.com,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
12,0,appleid.apple.com,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
13,0,apps.skype.com,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
14,0,appsbackup-pa.clients6.google.com,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
15,0,appsbackup-pa.googleapis.com,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
16,0,appspot-preview.l.google.com,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
17,0,apt.sonarr.tv,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
18,0,aspnetcdn.com,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
19,0,attestation.xboxlive.com,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
20,0,ax.phobos.apple.com.edgesuite.net,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
21,0,brightcove.net,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
22,0,c.s-microsoft.com,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
23,0,cdn.cloudflare.net,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
24,0,cdn.embedly.com,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
25,0,cdn.optimizely.com,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
26,0,cdn.vidible.tv,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
27,0,cdn2.optimizely.com,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
28,0,cdn3.optimizely.com,1,1638180442,1638180442,"Migrated from /etc/pihole/whitelist.txt"
